tokiiro,1,鴇色,オールドローズ,チャイニーズレッド,ローシェンナ,明るい紫みの赤
karakurenaiiro,2,弁柄色,韓紅色,バーントシェンナ,黄丹,あざやかな赤
suou,3,代赭,鴇色,蘇芳,マルーン,くすんだ赤
tobiiro,4,琥珀色,新橋色,鴇色,鳶色,暗い黄みの赤
benngarairo,1,弁柄色,バーントシェンナ,エクルベイジュ,韓紅色,暗い黄みの赤
ebitya,2,茶鼠,海老茶,鶸色,朽葉色,暗い黄みの赤
o-rudoro-zu,3,ジョンブリアン,チャイニーズレッド,オールドローズ,アンバー,やわらかい赤
popi-reddo,4,オールドローズ,ウィスタリア,ライラック,ポピーレッド,あざやかな赤
maru-nn,1,マルーン,蘇芳,代赭,ジョンブリアン,暗い赤
terakotta,2,柑子色,テラコッタ,ライラック,縹色,くすんだ黄みの赤
ouni,3,ウコン色,ローアンバー,黄丹,チャイニーズレッド,つよい黄赤
hiwadairo,4,刈安色,ゴールデンイエロー,鶸色,桧皮色,暗い灰みの黄赤
taisya,1,代赭,黄丹,蘇芳,かめのぞき,くすんだ黄赤
kouziiro,2,バーントシェンナ,柑子色,マルーン,弁柄色,明るい黄赤
tyaini-zureddo,3,オールドローズ,タン,チャイニーズレッド,テラコッタ,あざやかな黄赤
ba-nntosyennna,4,バーントアンバー,ウィスタリア,エクルベイジュ,バーントシェンナ,くすんだ黄赤
ro-syennna,1,ローシェンナ,チャイニーズレッド,ポピーレッド,朽葉色,つよい黄赤
tann,2,ジョンブリアン,タン,柑子色,ウコン色,くすんだ黄赤
kohakuiro,3,刈安色,ゴールデンイエロー,琥珀色,ウコン色,くすんだ赤みの黄
kutibairo,4,ネープルスイエロー,海松色,グラスグリーン,朽葉色,灰みの赤みを帯びた黄
ukonniro,1,ウコン色,刈安色,黄蘗色,納戸色,つよい黄
kariyasuiro,2,ライラック,刈安色,マルーン,黄丹,うすい緑みの黄
erukubeiju,3,ネープルスイエロー,リーフグリーン,エクルベイジュ,琥珀色,うすい赤みの黄
go-rudenniero-,4,琥珀色,黄蘗色,ウィスタリア,ゴールデンイエロー,つよい赤みの黄
annba-,1,アンバー,エクルベイジュ,マルーン,ライラック,くすんだ赤みの黄
ba-nntoannba-,2,アンバー,バーントアンバー,ローシェンナ,オールドローズ,ごく暗い赤みの黄
ro-annba-,3,ジョンブリアン,シャルトルーズグリーン,ローアンバー,ウィスタリア,暗い黄
ne-purusuiero-,4,エクルベイジュ,バーントシェンナ,ローシェンナ,ネープルスイエロー,つよい黄
jonnburiann,1,ジョンブリアン,海松色,シャルトルーズグリーン,スレートグレイ,あざやかな黄
kihadairo,2,代赭,黄蘗色,琥珀色,桧皮色,あかるい黄緑
miruiro,3,刈安色,鳶色,海松色,蘇芳,暗い灰みの黄緑
hiwairo,4,グラスグリーン,ピーコックグリーン,新橋色,鶸色,つよい黄緑
syarutoru-zuguri-nn,1,シャルトルーズグリーン,ボトルグリーン,鉄色,かめのぞき,明るい黄緑
ri-huguri-nn,2,常磐色,リーフグリーン,グラスグリーン,緑青色,つよい黄緑
gurasuguri-nn,3,アップルグリーン,ミントグリーン,グラスグリーン,シャルトルーズグリーン,くすんだ黄緑
tokiwairo,4,納戸色,新橋色,はなだ色,常磐色,こい緑
rokusyouiro,1,緑青色,鶸色,海松色,桧皮色,くすんだ緑
appuruguri-nn,2,常磐色,アップルグリーン,セルリアンブルー,古代紫,やわらかい黄みの緑
minntoguri-nn,3,ボトルグリーン,鉄色,ミントグリーン,藤色,明るい緑
marakaitoguri-nn,4,バーントアンバー,バーントシェンナ,テラコッタ,マラカイトグリーン,こい緑
botoruguri-nn,1,ボトルグリーン,ナイルブルー,はなだ色,江戸紫,ごく暗い緑
tetuiro,2,アップルグリーン,鉄色,ミッドナイトブルー,煤竹色,ごく暗い青緑
pi-kokkuguri-nn,3,ジョンブリアン,アンバー,ピーコックグリーン,アップルグリーン,青緑
nairuburu-,4,ミッドナイトブルー,古代紫,ライラック,ナイルブルー,くすんだ青緑
sinnbasiiro,1,新橋色,藤色,海松色,黄丹,明るい緑みの青
nanndoiro,2,柑子色,納戸色,セルリアンブルー,ランプブラック,つよい緑みの青
kamenozoki,3,はなだ色,黄蘗色,かめのぞき,琥珀色,やわらかい緑みの青
hanadairo,4,鉄色,常磐色,海松色,はなだ色,つよい青
seruriannburu-,1,セルリアンブルー,ミッドナイトブルー,ミントグリーン,リーフグリーン,あざやかな青
middonaitoburu-,2,藤色,ミッドナイトブルー,ウィスタリア,古代紫,ごく暗い紫みの青
huziiro,3,利休鼠,ジョンブリアン,藤色,古代紫,明るい青紫
wisutaria,4,ライラック,利休鼠,ジョンブリアン,ウィスタリア,あざやかな青紫
edomurasaki,1,江戸紫,古代紫,ライラック,藤色,こい青みの紫
kodaimurasaki,2,煤竹色,古代紫,江戸紫,ミッドナイトブルー,くすんだ紫
rairakku,3,新橋色,常磐色,ライラック,セルリアンブルー,やわらかい紫
ginnnezu,4,利休鼠,エクルベイジュ,アンバー,銀鼠,明るい灰色
tyanezu,1,茶鼠,利休鼠,スレートグレイ,納戸色,黄赤みの灰色
rikyuunezu,2,ウィスタリア,利休鼠,常磐色,ランプブラック,緑みの灰色
susutakeiro,3,エクルベイジュ,ローアンバー,煤竹色,スレートグレイ,赤みを帯びた黄みの暗い灰色
sure-togurei,4,鉄色,アンバー,茶鼠,スレートグレイ,暗い灰色
rannpuburakku,3,鳶色,テラコッタ,ランプブラック,煤竹色,黒
sakurairo,1,桜色,ピーチ,アイボリー,サーモンピンク,ごくうすい紫みの赤
koubaiiro,2,珊瑚色,紅梅色,ブロンド,あやめ色,やわらかい赤
sanngoiro,3,スカーレット,牡丹色,珊瑚色,カーマイン,明るい赤
